0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:46 -0600] "OPTIONS /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:47 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:48 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:49 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:50 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/Phone.html HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [19/Feb/2016:19:55:50 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
