0:0:0:0:0:0:0:1 - - [24/Feb/2016:13:54:48 -0600] "GET /csj/join_email_list.html HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [24/Feb/2016:13:54:55 -0600] "GET /csj/display_email_entry.jsp?firstName=Orlando&lastName=Hernandez&emailAddress=orlandoher34%40gmail.com HTTP/1.1" 200 1152
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:28:48 -0600] "GET /csj/StringBean.jsp HTTP/1.1" 200 1064
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:28:48 -0600] "GET /csj/JSP-Styles.css HTTP/1.1" 404 987
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:20 -0600] "OPTIONS /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:20 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:20 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:20 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:20 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:20 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:20 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:20 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/jsp-examples/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [24/Feb/2016:16:36:21 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
