0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:33 -0600] "GET /csj/Checkout HTTP/1.1" 200 791
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:36 -0600] "GET /csj/index.jsp HTTP/1.1" 200 1820
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:36 -0600] "GET /csj/javascript.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:43 -0600] "GET /csj/main HTTP/1.1" 404 967
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:48 -0600] "GET /csj/Main.jsp HTTP/1.1" 200 1889
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:48 -0600] "GET /csj/telecom.png HTTP/1.1" 200 33447
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:53 -0600] "POST /csj/servlet/CustomerController?action=getaccount&position=customer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:53 -0600] "GET /csj/Customerportal.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:49:58 -0600] "GET /csj/Profile.jsp HTTP/1.1" 200 1182
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:05 -0600] "OPTIONS /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:05 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps/csj/ HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:06 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:07 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:07 -0600] "PROPFIND /C$/apache-tomcat-7.0.34/webapps HTTP/1.1" 501 1126
0:0:0:0:0:0:0:1 - - [09/Mar/2016:08:52:07 -0600] "PROPFIND /C$/apache-tomcat-7.0.34 HTTP/1.1" 501 1126
